Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Dr. Sante  Hyaluron Hair Deep Hydration Hair Mask		Aqua, Cetearyl Alcohol, Cetyl Esters, Propylene Glycol, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Aloe Barbadensis Leaf Juice, Trehalose, Cetrimonium Chloride, Behentrimonium Chloride, Bis-Cetearyl Amodimethicone, Ceteareth-7, Ceteareth-25, Quaternium-80, Citric Acid, Glycolic Acid, Lactic Acid, Potassium Sorbate, Sodium Benzoate, Parfum, Benzyl Alcohol, Methylchloroisothiazolinone, Methylisothiazolinone, Triethylene Glycol, Phenoxyethanol, Caprylyl Glycol, Isopropyl Alcohol, Synthetic Mica, Titanium Dioxide, Tin Oxide, Hexyl Cinnamal, Limonene, Sodium Sulfate, CI 42090	Средняя	+					+	ЕС	
Estel professional Curex therapy Маска для поврежденных волос vita-терапия 		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Caprylic/Capric Triglyceride, Hydroxypropyl Starch Phosphate, Behentrimonium Chloride, Dimethicone, Dimethiconol,  Bis (C13-15 Alkoxy) PG Amodimethicone, Ceteareth-20, Ceteareth-6, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Panthenol ,Parfum, Limonene, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool, Citronellol,Tocopheryl Acetate, Lactic Acid, Simmondsia Chinensis (Jojoba) Seed Oil, Betaine.	Высокая 				 +		 +	РФ/СНГ	Ученицы оценили, как хорошую закрывашку и средство для распутывания. 
Estel professional Haute Couture Luxury Long Hair  Бальзам Роскошь длинных волос		Aqua, Cetearyl Alcohol,Cuaternium-70, Distearoylethyl Hydroxyethylmonium Methosulfate, Isopropyl Myristate, Amodimethicone, Morpholinomethyl Silsesquioxane, Trideceth-5,Glycerin, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Butyrospermum Parkii (Shea Butter), Phenyl Trimethicone, Phenoxyethanol, Methylparaben, Ethylparaben, Prorylparaben, Ceteareth-20, Glyceryl Stearate, Prunus Amyqdalus Dulcis (Sweet Almond) Oil, Propylene Glycol, Peart Powder, Sorbitol, Behenamidopropyl Dimethylamine,Polyquaternium-37, Parfum, Linalool, Lactic Acid, Tocopheryl Acetate	Высокая 		 +		 +		 +	РФ/СНГ	С 18-МЕА
Estel professional HAUTE COUTURE LUXURY SHINE Маска для блеска волос восстанавливающая 		Aqua Cetearyl Alcohol, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Silicone Quaternium-18, Trideceth-6, Trideceth-12, Cetrimonium Chloride, Glycerin, Propylene Glycol, Sorbitol, Panthenol, Carboxymethyl Chitin, Sodium Hyaluronate, Dimethicone, Phenyl Trimethicone, Cyclopentasiloxane, Dimethiconol, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Parfum, Butylphenyl Methylpropional, Hexyl Cinnamal, Benzyl Salicylate, Citronellol, alpha-Isomethyl lonone, Hydroxycitronelial, Hedrolyzed Silk, Guar Hydroxypropyltrimonium Chloride, Tocopheryl Acetate, Lactic Acid.	Высокая 	 +						РФ/СНГ	С 18-МЕА
Estel professional Kikimora  Ультраувлажняющая маска		 Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Dimethicone, Dimethiconol, Behenamidopropyl Dimethylamine, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Betaine, Peat Extract, Acorus Calamus Extract, Nuphar Lutea Extract, Propylene Glycol, Parfum, Linalool, Hexyl Cinnamal, Butylene Glycol, Hypnea Musciformis Extract, Lactic Acid, Tocopheryl Acetate, Guar Hydroxypropyltrimonium Chloride.	Высокая				+		+	РФ/СНГ	Поверхностное сглаживание, больше как кондиционер
Estel professional Otium aqua   Комфорт-маска для интенсивного увлажнения волос		Aqua, Cetearyl Alcohol, Amodimethicone,  Morpholinomethyl Silsesquioxane, Trideceth-5, Glycerin,Hydroxypropyl Starch Phosphate, Behentrimonium Chloride, Caprylic/Capric Triglyceride, Lanolin, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Hydroxyethylcellulose,  Betaine, Panthenol, Glycine, PEG-400,  Mannitol, Tromethamine, Glutamic Acid, Arginine HCI, Alanine, Aspartic Acid, Lysine Hydrochloride, Leucine, Valine, Citric Acid, Isopropyl Alcohol, Sodium Lactate, Sorbitol, Glucose, Phenylalanine, Isoleucine, Tyrosine, Histidine Hydrochloride, Hydrolyzed Soy Protein, Copper Tripeptide-1, Pаrfum, Linalool, Limonene, Hexyl Cinnamal, Tocopheryl Acetate, Lactic Acid.	Средняя	+	+				+	РФ/СНГ	Поверхностное сглаживание, пленки, больше как кондиционер
Estel professional Prima Blonde Бальзам		Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Caprylic/Capric Triglyceride, Dimethiconol, Dimethicone, Pantolactone, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Sodium PCA, Niacinamide, Parfum, Tocopheryl Acetate, Lactic Acid	Высокая				+		+	РФ/СНГ	Хорошая закрывашка и средство для распутывания
Estel professional   18+  Бальзам для волос		Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Propylene Glycol, Behenamidopropyl Dimethylamine, Hydroxyethylcellulose, C12-15 Alkyl Benzoate, Dimethicone, Dimethiconol, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Silicone Quaternium-18, Trideceth-6, Trideceth-12, Lactic Acid, Acetamidoethoxyethanol, Betaine, Parfum, Benzyl Salicylate, Hexyl Cinnamal, Linalool, Citronellol, Polyquaternium-10, Dimethicone/Vinyl Dimethicone Crosspolymer, Diheptyl Succinate, Capryloyl Glycerin/Sebacic Acid Copolymer, Guar Hydroxypropyltrimonium Chloride, Sodium PCA, Hydrolyzed Silk, Gossypium Herbaceum (Cotton) Seed Oil, Oryza Sativa Extract, Glycine Soya Protein, Triticum Vulgare (Wheat) Germ Extract, PEG-40 Hydrogenated Castor Oil, PEG-35 Castor Oil, Pentylene Glycol, Polysorbate 20, Tocopheryl Acetate, Inositol, Calcium Pantothenate, Retinyl Palmitate, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Helianthus Annuus Seed Oil, Biotin, Maltodextrin, Tocopherol , Butylene Glycol, Malic Acid, Prunus Amygdalus Dulcis Seed Extract, Actinidia Chinensis (Kiwi) Fruit Juice, Citrus Aurantium Dulcis(Orange) Juice, Citrus Paradisi (Grapefruit)Juice, Pyrus Malus (Apple) Juice, Trideceth-9, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Niacinamide, Cаffeine	Высокая	+			+		+	РФ/СНГ	Поверхностное сглаживание, пленки, 18 МЕА
Estel professional  THERMOKERATIN  Кератиновая маска для волос		Aqua, Cetearyl Alcohol, Cetrimonium Chloride, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Isopropyl Myristate, Silicone Quaternium-18, Trideceth-6, Trideceth-12, Distearoylethyl Hydroxyethylmonium Methosulfate,Dimethicone, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Argania Spinosa Kernel Oil, Guar Hydroxypropyltrimonium Chloride, Cera Alba (Beeswax), Parfum, Butylphenyl Methylpropional, Benzyl Salicylate, Hydrolyzed  Keratin, Tocopheryl Acetate, Lactic Acid, Behenyl / Stearyl  Aminopropanediol Esters.	Высокая		 +		+		+	РФ/СНГ	Поверхностное сглаживание, пленки, 18 МЕА
Fito Cosmetic  Кокосовое  Густое масло для волос 		Aqua, Cocos Nucifera Oil (Масло Кокоса), Olea Europaea Fruit Oil (Масло Оливы), Butyrospermum Parkii Butter (Масло Ши), Theobroma Cacao Seed Butter (Масло Какао), Vanilla Planifolia Fruit Extract (Экстракт Ванили), Camellia Sinensis Leaf Extract (Экстракт Зеленого Чая), Cetearyl Alcohol, Alpinia Speciosa Leaf Extract (Экстракт Альпинии), Crocus Sativus Flower Extract (Экстракт Шафрана), Polygonum Fagopyrum Seed Extract (Экстракт Семян Гречихи), Althaea Officinalis Root Extract (Экстракт Алтея), Glycerin, Behenamidopropyl Dimethylamine, Glyceryl Monostearate, Parfum, Lactic Acid, Benzoic Acid, Sorbic Acid, Dehydroacetic Acid, Benzyl Alcohol	Средняя		+			+		РФ/СНГ	Питание
Fito Cosmetic  Fito VITAMIN  Фито витамин липидный комплекс восстанавливающая быстрая помощь для повреждённых 		Aqua, Arctium Lappa Seed Oil (Репейное Масло), Olea Europaea Fruit Oil, Butyrospermum Parkii Butter, Niacinamide (Никотиновая кислота), Sphingolipids (Комплекс Церамидов), Cetearyl Alcohol, Camellia Sinensis Extract, Phytosterols (Комплекс Фитостеролов), Glycerin,  Behenamidopropyl Dimethylamine,  Phospholipids, Glycine Soja Oil, Glycolipids, Glycine Soja Sterol (Липидный Комплекс), Glyceryl Stearate, Niacin, Retinyl Palmitate, Parfum,  Lactic Acid, Benzoic Acid, Sorbic Acid, Dehydroacetic Acid, Benzyl Alcohol.	Средняя	+	+			+		РФ/СНГ	Питание
Four Reasons  Original  Moisture Conditioner  Увлажняющий кондиционер		Aqua (Water), Cetearyl Alcohol, Glycerin, Glycol Stearate, Behentrimonium Chloride, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Quaternium-91, Cetrimonium Methosulfate, Sodium Benzoate, Isopropyl Alcohol, Citric Acid, Ceteareth-20, Parfum (Fragrance), Potassium Sorbate, Tribehenin, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Aloe Barbadensis Leaf Extract, Butylphenyl Methylpropional, Phenoxyethanol, EDTA	Высокая	+				+		ЕС	Можно и как маску на увлажнение
GOLDWELL DS Curls & Waves Hydrating Conditioner 		water/aqua, cetearyl alcohol, bambusa vulgaris (bamboo) extract, behentrimonium chloride, isopropyl myristate, steartrimonium chloride, isopropyl alcohol, panthenol, propylene glycol, lactic acid, octyldodecyl pca, sodium pca, glycerin, sorbitol, quaternium-80, glycoproteins, methylparaben, propylparaben, fragrance, yellow 5, blue 1, orange 4	Высокая	+				+		ЕС	
Greenini Aloe Keratin Бальзам для волос Кератиновое восстановление 		Aqua (Water), Cetearyl Alcohol, Glycerin, Behentrimonium Chloride, Cetyl Palmitate, Isopropyl Palmitate, Ceteareth-20, Aloe Barbadensis Leaf Extract, Hydrolyzed Keratin, Orbignya Oleifera Seed Oil, Cetrimonium Chloride, Hydroxyethylcellulose, Parfum, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Linalool, Butylphenyl Methylpropional, Hexyl Cinnamal	Средняя	+	+			+		РФ/СНГ	
Happy Hair Professional  SOS Conditioner  Маска суфле без сульфатов для волос		Cetearyl Alcohol, Acetylated Lanolin Alcohol, Phenoxyethanol, Tialolinone, Cetearyl Alcohol, Behentrimonium Chloride / Astrocarium Murumuru Seed Butter, Orbignya Speciose Kernel Oil (And) Astrocarium Murumuru Butter, Sodium, EDTA, Cetrimonium Chloride, Cllicerin, Amodimethicone (And) c-12-14-sec pareth-7 (And) c-12-14-sec pareth-5, Dimethiconol (And) Tea-dodecylbenzenesulfate, Water (And) Polyquaternium-7 (And) Sericin (And) Guar Hydroxypropyltrimonium Chloride, Cetrimonium Chloride (And) Behentrimonium Chloride, Fragrance, Water Provitamina 5, Aloe Vera, Pronteins de Quinos, Aminoacid de Quitosona, Oleo de Pracaxi, Oleo de Coco, Virgin Oleo de Moringa, Vitamina e Proteins Hydrolizada de Arroz Serecina Silsoft CLX-E, PCA Sodico Arginine, Lysine, Mel Quarteinzado, Sericina e Arginine	Средняя				+		+	Бразилия	Поверхностное сглаживание, больше как кондиционер. Кудрям можно, если нет проблемы с завитком
Happy Hair Professional  Macadamia Moist Daily Care Mask  Маска для волос питательная		Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Glycerin, Myristyl Alcohol, Cetyl Alcohol, Paraffinum Liquidum, Isopropyl Alcohol, Cocos Nucifera Oil, Parfum, Titanium Dioxide, Ceteareth-20, Cetrimonium Chloride, Citric Acid, Disodium EDTA, CI 16255, CI 19140, CI 28440, Amodimethicone, C12-14 SEC-Pareth-7, Benzotriazolyl Dodecyl P-Cresol, Octadecyl Di-T-Butyl-4-Hydroxyhydrocinnamate, C12-14 SEC-Pareth-5, Hydrolyzed Keratin, Macadamia Temifolia Seed Oil, Carapa Gualanensis Seed Oil, Methylchloroisothiazolinone /Methylisothiazolinone, Tocopherol, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool	Средняя	+	+			+		Бразилия	
Hask Biotin Boost - Thickening Conditioner 		Aqua/Water/Eau, Cetyl alcohol, Behentrimonium chloride, Isopropyl palmitate, Biotin, Hydrolyzed collagen, Coffea arabica (coffee) seed oil, Butyrospermum parkii (shea) butter, Olea europaea (olive) fruit oil, Cocos nucifera (coconut) oil, Glycerin, Panthenol, Cetrimonium chloride, Phenoxyethanol, Dimethicone, Polyquaternium-68, Citric acid, Zea mays (corn) starch, Ethylhexylglycerin, Triethyl citrate, Sodium benzoate, Stearyl alcohol, Parfum/Fragrance, Eugenol, Linalool	Средняя	+	+			+		США	
Hask Keratin Smooth - Smoothing Deep Conditioner Кондиционер для придания гладкости волосам с протеином кератина		Water/Eau (Aqua),Cetearyl Alcohol, Cetrimonium Chloride, Lanolin, Quaternium-18, Cetyl Alcohol, Keratin Amino Acids, Cocoyl Hydrolyzed Keratin, Cocoyl Hydrolyzed Collagen, Hydrolyzed Collagen, Hydrolyzed Wheat Protein, Sesamum Indicum (Sesame) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cocos Nucifera (Coconut) Oil, Triticum Vulgare (Wheat) Starch, Hydroxyproplytrimonium Hydrolyzed Rice Protein/Siloxysilicate, Oryza Sative (Rice) Extract, Panthenyl Hydroxypropyl Steardimonium Chloride, Isopropyl Palmitate, Glycerin, Citric Acid, Isostearic Acid, Lanolin Alcohol, Lecithin, Oleoyl Sarcosine, Sorbitan Oleate, Butyl Stearate, Tetrasodium Glutamate Diacetate, DMDM Hydantoin, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Fragrance/Parfum	Средняя		+	+		+		США	Комплексная маска на питание и восстановление
Herbal Essences   Бальзам для волос		Aqua, Stearyl Alcohol, Stearamidopropyl Dimethylamine, Cetyl Alcohol, Glutamic Acid, Benzyl Alcohol, Parfum, Sodium Benzoate, Benzyl Benzoate, Citric Acid, Disodium EDTA, Hexyl Cinnamal, Linalool, Histidine, Butylene Glycol, Limonene,Menthol, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Fragaria Chiloensis Fruit Extract, Aloe Barbadensis Leaf Juice, Alcohol Denat., Ecklonia Radiata Extract	Средняя				+	+		ЕС	
HOLLY POLLY   Keratin Shock  Кондиционер восстанавливающий		aqua, cetearyl alcohol, behentrimonium chloride, butyrospermum parkii butter, glycerin, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, aspartic acid, hydroxypropyltrimonium lemon protein, amodimethicone, trideceth-12, polyquaternium-10, cetrimonium chloride, parfum, tetrasodium glutamate diacetate, citric acid, sodium hydroxide, phenoxyethanol, benzyl alcohol, ethylhexylglycerin	Средняя		+	+		+	+	РФ/СНГ	Силиконы легкие, кудрям можно пробовать, но только если нет проблем с завитком. Можно как маску
ICE by NATURA SIBERICA Nutri-Lipid Therapy Hair 		Aqua, Cetearyl Alcohol, Cocos Nucifera Oil, Cetrimonium Chloride, Behentrimonium Chloride, Phospholipids, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols (Lipid Pro-complex), Hydrolyzed Barley Protein (Plant Elastin), Camellia Oleifera Seed Oil, Hippophae Rhamnoides Fruit ExtractWH, Pinus Sibirica Needle ExtractWH, Sorbus Sibirica ExtractWH, Actinidia Polygama Fruit Extract*, Lupinus Albus Seed Extract*, Lavandula Angustifolia Flower Extract*, Phenyl Trimethicone, Dimethicone, Dimethiconol, Glyceryl Linoleate, Glyceryl Oleate, Glyceryl Linolenate, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid, Parfum, Hexyl Cinnamal, Limonene, Linalool. (*) – Organic ingredients. (WH) - Wild Harvested Siberian Plants Organic Extracts.	Высокая		+					РФ/СНГ	
ICE by NATURA SIBERICA  Kera-Therm Therapy		Aqua, Cetearyl Alcohol, Cocos Nucifera Oil, Cetrimonium Chloride, Behentrimonium Chloride, Hydrolyzed Keratin, Lysine, Histidine, Arginine, Aspartic acid, Threonine, Serine, Glutamic Acid, Proline, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine, Cetraria Islandica Thallus ExtractWH, Polygonum Sachalinense Extract*, Aster Sibiricus ExtractWH, Rubus Arcticus Fruit Extract*, Rubus Chamaemorus Fruit ExtractWH, Sophora Flavescens ExtractWH, Leontopodium Alpinum Flower/Leaf Extract*, Dimethicone, Dimethiconol, Phenyl Trimethicone, Guar Hydroxypropyltrimonium Chloride, Lauryl Glucoside, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid, Parfum, Linalool.	Высокая	+	+	+				РФ/СНГ	
ICE by NATURA SIBERICA  Peptide Therapy 		Aqua, Cetearyl Alcohol, Cocos Nucifera Oil, Cetrimonium Chloride, Behentrimonium Chloride, Glycerin, Ricinus Communis Seed Oil, Biotin, Collagen, Niacinamide, Palmitoyl Tripeptide-5, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7 (Peptide Pro-Complex), Agarum Cribrosum ExtractWH, Sasa Kurilensis Leaf/Stem ExtractWH, Betula Alba Bark/Leaf Extract*, Pinus Pumila Needle ExtractWH, Panax Ginseng Root Extract*, Dasiphora Fruticosa Extract*, Ribes Nigrum Leaf Water*, Distearoylethyl Hydroxyethylmonium Methosulfate, Bis-Cetearyl Amodimethicone, Cyclopentasiloxane, Dimethiconol, Hydroxyethylcellulose, Guar Hydroxypropyltrimonium Chloride, Tocopheryl Acetate, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid, Parfum, Limonene, Linalool.  (*) – Organic ingredients. (WH) - Wild Harvested Siberian Plants Organic Extracts.	Высокая	+	+	+				РФ/СНГ	
Insight Damaged Hair - Restructurizing mask		Aqua/Water/Eau, Cetearyl Alcohol, Cetrimonium Chloride, Distearoylethyl Dimonium Chloride, Myristyl Alcohol, Argania Spinosa Kernel Oil, Oryza Sativa (Rice) Bran Oil, Triticum Vulgare (Wheat) Seed Extract, Olea Europaea (Olive) Fruit Oil, Hydrogenated Vegetable Oil, Tocopherol, Hydrolyzed Vegetable Protein, Butyrospermum Parkii (Shea) Butter, Glycerin, Parfum/Fragrance, Citric Acid, Benzyl Alcohol, Glyceryl Laurate, Sodium Benzoate, Potassium Sorbate 	Высокая		 +			+		ЕС	
Insight  Anti-frizz hydrating mask  Дисциплинирующая маска для волос		Aqua (Water), Cetearyl Alcohol, Cetrimonium Chloride, Myristyl Alcohol, Cetyl Alcohol, Stearyl Alcohol, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Behenamidopropyl Dimethylamine, Cannabis Sativa Seed Oil, Gossypium Herbaceum (Cotton) Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Linum Usitatissimum (Linseed) Seed Extract, Parfum (Fragrance), Glycerin, Benzyl Alcohol, Glyceryl Laurate, Lactic Acid, Citric Acid, Sodium Benzoate, Potassium Sorbate	Высокая		+			+		ЕС	
Insight  Daily Use  Кондиционер для ежедневного применения		 Aqua (Water), Cetrimonium Chloride, Cetearyl Alcohol, Myristyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Zea Mais (Corn) Germ Oil, Citrus Medica Limonum (Lemon) Fruit Extract, Prunus Armenica Kernel Oil, Hydrogenated Apricot Kernel Oil, Tocopherol, Parfum (Fragrance), Citric Acid, Magnesium Nitrate, Magnesium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone.Органический экстракт лимона+ Тонизирующий комплекс (Масло Абрикоса+ Масло Подсолнуха+ Масло Зародышей Кукурузы).	Высокая		+			+		ЕС	Можно как маску
JKeratin  Doctor Nutrition — маска для глубокого питания и блеска волос с комплексом «S+S		Aqua, Cetyl Alcohol, Glycerin, Propylene Glycol, Cetearyl Alcohol, Cyclopentasiloxane, Citric Acid, Stearyl Alcohol, Linum Usitatissimum Seed Oil, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Phenoxyethanol, Behenamidoethyl Diethylamine, Simmondsia Chinensis Seed Oil, Dimethicone, Cetrimonium Chloride, Phenylpropyldimethylsiloxysilicate, Dimethiconol, Dipropylene Glycol, Polyglyceryl-2 Dipolyhydroxystearate, Potassium Sorbate, Rosa Rubiginosa Seed Oil, Hexyl Cinnamal, Lactic Acid, Camellia Oleifera Seed Oil, Parfum, Ethylhexylglycerin, Caprylic/Capric Triglyceride, Polysilicone-29, Linalool, Coumarin, Dimethicone/Vinyl Dimethicone Crosspolymer, Helianthus Annuus Seed Extract, Lecithin, Ceramide 3	Высокая	 +	 +				 +	РФ/СНГ	Кислый pH за счёт этого дает классный блеск, комплексная глубокая маска 
JKeratin  Hair Cuticle Top  Липидная маска-подложка		Aqua, propylene glycol, cetyl alcohol, cetearyl alcohol, glycerin, behentrimonium chloride, dimethicone, phenoxyethanol, stearyl alcohol, dipalmitoylethyl hydroxyethylmonium methosulfate, isopropyl alcohol, behenamidoethyl diethylamine, cetrimonium chloride, tocopheryl acetate, dimethiconol, argania spinosa kernel oil, triticum vulgare germ oil, mica, sodium pca, silicone quaternium-16, ethylhexylglycerin, lactic acid, glucose, titanium dioxide, undeceth-11, caprylic/capric triglyceride, sodium lactate, sorbitol, fructose, helianthus annuus seed extract, arginine, undeceth-5, butyloctanol, glycine, aspartic acid, hydrolyzed wheat protein, sodium glutamate, limonene, alanine, lysine, glycolic acid, malic acid, citric acid, serine, avena sativa kernel oil, valine, isoleucine, proline, threonine, acetic acid, lecithin, parfum, ceramide 3, phenylalanine, histidine	Высокая	+	 +				+	РФ/СНГ	Prodew® 500 (Продью)
Joanna  odbudowa Keratyna Maska do włosów 		Aqua, Cetearyl Alcohol, Glycerin, Quaternium-91, Silicone,Quaternium-16, Cetrimonium Chloride, Cetrimonium Methosulfate, Undeceth-11, Butyloctanol, Undeceth-5, Isopropyl Alcohol, Olea Europaea Fruit Oil, Olea Europaea Oil Unsaponifiables, Hydrolyzed Keratin, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Polyquaternium-10, Triethanolamine, Leuconostoc/Radish Root Ferment Filtrate, Parfum, DMDM Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Acetic Acid, lodopropynyl Butylcarbamate	Средняя	+	 +	+				ЕС	
JOICO Defy Damage - protective conditioner		Water/Aqua/Eau, Stearyl Alcohol, Behentrimonium Chloride, Cetyl Esters, Amodimethicone, Cetyl Alcohol, Fragrance/Parfum, Behenyl Alcohol, Dicetyldimonium Chloride, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, Panthenol, Hydrogenated Olive Oil, Olea Europaea (Olive) Fruit Oil, Avena Sativa (Oat) Peptide, Phosphatidylcholine, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Moringa Oleifera Seed Oil, Rosa Canina Fruit Oil, Butyrospermum Parkii (Shea) Butter, Olea Europaea (Olive) Oil Unsaponifiables, Arginine HCl, Hydroxypropyl Chitosan, Arginine, Quaternium-87, Stearamidopropyl Dimethylamine, Distearyldimonium Chloride, Citric Acid, Propylene Glycol, Guar Hydroxypropyltrimonium Chloride, C11-15 Pareth-7, Trideceth-12, Laureth-9, Diethylhexyl Malate, Glycerin, Isopropyl Alcohol, Tocopherol, Tetrasodium EDTA, PEG-4 Laurate, Cetrimonium Chloride, Dipropylene Glycol, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Phenoxyethanol, Iodopropynyl Butylcarbamate, Alcohol Denat., Sodium Hydroxide, Citronellol, Alpha-Isomethyl Ionone	Высокая				+			США	С 18-МЕА
JOICO  Defy Damage - Protective masque For bond strengthening & color longevity		Water/Aqua/Eau, Butylene Glycol, Dimethicone, Sorbitol, Behenyl Alcohol, Stearyl Alcohol, Behentrimonium Chloride, Cetyl Alcohol, Glyceryl Oleate, Cocos Nucifera (Coconut) Oil, Moringa Oleifera Seed Oil, Avena Sativa (Oat) Peptide, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Arginine HCl, Rosa Canina Fruit Oil, Phosphatidylcholine, Tocopherol, Aminopropyl Dimethicone, Isopropyl Alcohol, Stearyl Dihydroxypropyldimonium Oligosaccharides, Steartrimonium Chloride, Octyldodecanol, Propylene Glycol, Arginine, Citric Acid, Dipropylene Glycol, PEG-6 Methyl Ether Dimethicone, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, PEG-90M, Glycerin, Phenoxyethanol, Sodium Hydroxide, Citronellol, Alpha-Isomethyl Ionone, Fragrance/Parfum.	Высокая	 +	 +				 +	США	С 18-МЕА
Just Hair Кондиционер для объема волос 		Aqua, Cetearyl Alcohol, Betaine, Behentrimonium Methosulfate, Behentrimonium Chloride, Butylene Glycol, Cetyl Alcohol, Hydrolyzed Wheat Protein, Glycerin, Hydrolyzed Soy Protein, Silicone Quaternium-18, Trideceth-6, Trideceth-12, Panthenol, Lysine, Histidine, Arginine, Aspartic Acid, Threonine, Serine, Glutamic Acid, Proline, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine, Citric Acid, Tetrasodium Glutamate Diacetate, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol, Tetrasodium EDTA, Sodium Benzoate, Potassium Sorbate, Parfum, Benzyl Salicylate, Coumarin, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool	Средняя	 +		+				РФ/СНГ	
Kaaral  Маска PURIFY FILLER для восстановления и плотности тонких волос		Aqua (water), cetearyl alcohol, butyrospermum parkii butter (butyrospermum parkii (shea) butter), propylene glycol, cetrimonium chloride, ethylhexyglycerin, hydrolyzed hyaluronic acid, sodium hyaluronate, hydrolyzed keratin, parfum (fragrance), methoxy peg/ppg-7/3 aminopropyl dimethicone, amodimethicone, citric acid, tetrasodium edta, trideceth-10, lactic acid, phenoxyethanol hexyl cinnamal, linalool, alpha-isomethyl.	Высокая	+	+					ЕС	
Kaaral  Purify Hydra  Маска для волос питательная		Aqua (Water), Lauryl Alcohol, Behentrimonium Chloride, Myristyl Alcohol, Aloe Ferox Leaf Juice Powder, Glycerin, Nigella Sativa Seed Oil, Parfum (Fragrance)*, Sesamum Indicum Seed Oil (Sesamum Indicum (Sesame) Seed Oil), Tocopherol, Helianthus Annuus Seed Oil (Helianthus Annuus (Sunflower) Seed Oil), Sucrose Stearate, Glyceryl Caprylate, Xanthan Gum, P-Anisic Acid, Isopropyl Alcohol, Tetrasodium Edta, Citric Acid, Ci 19140 (Acid Yellow 23), Imidazolidinyl Urea, Methylchloroisothiazolinone, Methylisothiazolinone. *Benzyl Benzoate, Coumarin, Linalool	Высокая	+	+			+		ЕС	Предупреждение: специфичный запах, на любителя
